grupo_municipal,scenario_code,scenario_label,iusi_per_capita_base_q,iusi_per_capita_direct_q,iusi_per_capita_compensado_q,perdida_directa_q,compensacion_iva_q,saldo_neto_q,saldo_neto_pct,iusi_o_equivalente_ingresos_propios_pct,iusi_o_equivalente_ingresos_totales_pct,share_compensacion_sobre_perdida_pct,pool_share_of_total_direct_loss_pct,proxy_weight_share_pct,scenario_note
Pequenas,jh_f2b_low,JH-F2b compensacion baja,7.260884,4.152105,5.007675,3.108779,0.855570,-2.253209,-31.032154,1.228380,0.434137,27.521103,10.000000,5.644953,Escenario conservador: el flujo municipal compensatorio equivale al 10% de la perdida directa nacional del IUSI y se distribuye segun la matriz proxy.
Medianas,jh_f2b_low,JH-F2b compensacion baja,44.367482,28.082352,36.051331,16.285130,7.968979,-8.316151,-18.743798,9.727197,3.241386,48.934083,10.000000,26.169946,Escenario conservador: el flujo municipal compensatorio equivale al 10% de la perdida directa nacional del IUSI y se distribuye segun la matriz proxy.
Grandes,jh_f2b_low,JH-F2b compensacion baja,221.235079,158.626963,163.237007,62.608116,4.610044,-57.998072,-26.215586,22.892659,13.678521,7.363333,10.000000,68.185100,Escenario conservador: el flujo municipal compensatorio equivale al 10% de la perdida directa nacional del IUSI y se distribuye segun la matriz proxy.
Pequenas,jh_f2b_central,JH-F2b compensacion central,7.260884,4.152105,5.435460,3.108779,1.283355,-1.825424,-25.140515,1.333316,0.471224,41.281654,15.000000,5.644953,Escenario central: el flujo compensatorio equivale al 15% de la perdida directa nacional y se territorializa segun la intensidad inmobiliaria formal municipal.
Medianas,jh_f2b_central,JH-F2b compensacion central,44.367482,28.082352,40.035820,16.285130,11.953468,-4.331662,-9.763145,10.802273,3.599633,73.401124,15.000000,26.169946,Escenario central: el flujo compensatorio equivale al 15% de la perdida directa nacional y se territorializa segun la intensidad inmobiliaria formal municipal.
Grandes,jh_f2b_central,JH-F2b compensacion central,221.235079,158.626963,165.542029,62.608116,6.915066,-55.693050,-25.173698,23.215920,13.871672,11.045000,15.000000,68.185100,Escenario central: el flujo compensatorio equivale al 15% de la perdida directa nacional y se territorializa segun la intensidad inmobiliaria formal municipal.
Pequenas,jh_f2b_high,JH-F2b compensacion alta,7.260884,4.152105,5.863246,3.108779,1.711141,-1.397638,-19.248875,1.438251,0.508311,55.042205,20.000000,5.644953,Escenario expansivo prudente: el flujo compensatorio equivale al 20% de la perdida directa nacional y se distribuye por peso proxy de IVA.
Medianas,jh_f2b_high,JH-F2b compensacion alta,44.367482,28.082352,44.020310,16.285130,15.937958,-0.347172,-0.782492,11.877349,3.957880,97.868165,20.000000,26.169946,Escenario expansivo prudente: el flujo compensatorio equivale al 20% de la perdida directa nacional y se distribuye por peso proxy de IVA.
Grandes,jh_f2b_high,JH-F2b compensacion alta,221.235079,158.626963,167.847051,62.608116,9.220088,-53.388028,-24.131809,23.539180,14.064822,14.726666,20.000000,68.185100,Escenario expansivo prudente: el flujo compensatorio equivale al 20% de la perdida directa nacional y se distribuye por peso proxy de IVA.
