municipio_codigo,municipio_nombre,departamento_nombre,municipal_code,municipio_final,departamento_final,region,iusi_vigente_2025,iusi_devengado_2025,iusi_percibido_2025,iusi_vigente_Q,iusi_devengado_Q,iusi_percibido_Q,urbanidad_centralidad_score,mercado_inmobiliario_formal_score,finanzas_credito_formalidad_score,capacidad_institucional_catastral_score,intensidad_inmobiliaria_formal_score,proxy_iva_potential_index_100,proxy_iva_weight_share_pct,urbanidad_data_points,mercado_data_points,finanzas_data_points,institucional_data_points,viirs,equipamientos_urbanos_importantes,densidad_hab_km2,poblacion_2018,infraestructura,pib_local_km2,actividades_construccion,cantidad_empresas,segmento_abc_alquila,ingreso_mensual_hogar,porcentaje_segmento_abc,tamano_mercado,dinamismo_negocios,cartera_creditos_pib_fund,pea_igss_fund,agentes_bancarios_100k,depositos_pib_percapita,sistema_financiero,uso_catastro_ot,reglamento_construccion_ot,autonomia_financiera,volumen_tributacion,ranking_gestion_municipal,instituciones,icl_2025
117,San Miguel Petapa,Guatemala,117,San Miguel Petapa,Guatemala,Región I Metropolitana,72055709.15,67275646.48,67275646.48,72055709.15,67275646.48,67275646.48,96.39880952380952,93.82653061224491,76.21428571428571,92.06632653061226,89.9311224489796,100.0,1.1411806435207432,6,7,5,7,0.4593133285225879,0.11764705882352941,1.0,0.1177278294525411,82.08692218115219,42178802.42667589,0.6666666666666666,0.5265807962529274,0.17099,0.6265530538891259,0.2169580986269643,60.89659877535115,65.43912832461302,1.0182155219833673,0.14745958810673307,219.52390193203863,0.5982905597085456,100.0,0.8,1.0,0.8069441355468493,0.006718569150812101,58.40423011964305,64.58845439289111,75.19885162211321
108,Mixco,Guatemala,108,Mixco,Guatemala,Región I Metropolitana,290207000.0,167607438.83,167607438.83,290207000.0,167607438.83,167607438.83,98.60119047619048,97.09183673469387,71.53571428571429,88.77551020408164,89.90816326530611,99.64285714285714,1.1494648353040653,6,7,5,7,0.6190875805731628,0.2192513368983957,0.8930970606893636,0.40422175192647475,82.94749516609149,54112788.85102207,0.882525697503671,0.7729508196721312,0.21701,0.7435663502798788,0.5029479342115395,65.68845885521146,71.07400403085076,0.6273999254211255,0.2462494878299748,219.52390193203868,0.3686522592094571,91.79076620059107,0.4,1.0,0.9648820388662054,0.08121500269656773,50.41679492747606,63.450947348397555,74.41217207738653
101,Guatemala,Guatemala,101,Guatemala,Guatemala,Región I Metropolitana,758485500.0,752263873.74,752263873.74,758485500.0,752263873.74,752263873.74,99.88095238095237,99.38775510204083,61.107142857142854,91.96428571428571,88.85204081632652,99.28571428571429,1.149450068473792,6,7,5,7,1.0,1.0,0.9253677310213577,1.0,83.40654363437443,178292512.52232647,1.0,1.0,0.24005,1.0,1.0,76.93954391907702,97.96215429403202,0.31200418337222385,0.9746809342018329,219.52390193203863,0.18332971111809945,80.20810694488122,0.8,1.0,0.9964581735386955,1.0,62.48522396362283,63.23677097096448,80.81520609919839
115,Villa Nueva,Guatemala,115,Villa Nueva,Guatemala,Región I Metropolitana,165600000.0,142692798.2,142692798.2,165600000.0,142692798.2,142692798.2,95.92261904761905,95.91836734693878,71.10714285714286,81.35204081632654,87.53188775510205,98.92857142857143,1.1371345320258586,6,7,5,7,0.3608219288750626,0.1657754010695187,0.8553503912032143,0.38164698782960593,77.60726289766222,53722002.35934517,0.8267254038179148,0.680327868852459,0.17463,0.730658602704247,0.45311197839115813,65.53154614200481,68.2028118096639,0.6813562650672893,0.17182923084564938,219.52390193203863,0.40035632180697767,93.7722701129361,0.8,0.3,0.9000752234523486,0.04973133953010557,50.45606539578096,46.73207103537302,72.21466997205931
102,Santa Catarina Pinula,Guatemala,102,Santa Catarina Pinula,Guatemala,Región I Metropolitana,98413615.88,99165709.7,99165709.7,98413615.88,99165709.7,99165709.7,92.67857142857143,95.35714285714286,63.82142857142858,85.28061224489797,85.15816326530613,98.57142857142858,1.1289537080544496,6,7,5,7,0.2843917286342681,0.10695187165775401,0.2149223937407486,0.07092989856442365,80.61986847240101,33358043.259102695,0.6431718061674009,0.5092505854800937,0.15781,0.6254609166139098,0.3420117778875016,57.35479453440393,71.95461822002467,0.43095042497734626,0.2392321503817959,219.52390193203863,0.2532210179472631,84.57631362170395,0.8,0.3,0.8370741981603286,0.042462958163309056,47.0559932135224,59.65006129479266,75.3685109370991
114,Amatitlan,Guatemala,114,Amatitlan,Guatemala,Región I Metropolitana,17288000.0,18259529.84,18259529.84,17288000.0,18259529.84,18259529.84,92.67857142857143,86.58163265306122,78.78571428571429,75.86734693877551,84.85459183673468,98.21428571428571,1.0883153911423236,6,7,5,7,0.1289613951303867,0.13368983957219252,0.24141594417424403,0.12088144370755938,80.09770425256856,5479371.359699683,0.631424375917768,0.46217798594847775,0.12233,0.5276154879128642,0.12713573136230316,32.19171372078593,66.39819571417125,1.163428417254611,0.1993963999807596,219.52390193203863,0.6836158199437261,100.0,0.0,0.3,0.521179412062417,0.017736486637652094,56.033555621440755,54.58982661898492,66.43367807814222
113,Fraijanes,Guatemala,113,Fraijanes,Guatemala,Región I Metropolitana,71130270.0,53577610.45,53577610.45,71130270.0,53577610.45,53577610.45,86.13095238095237,95.05102040816327,66.67857142857143,79.03061224489795,82.87882653061224,97.85714285714285,1.112680661093271,6,7,5,7,0.1252690989814268,0.0748663101604278,0.08806428420384858,0.049271387257864216,80.30704966036085,11642325.696137944,0.5756240822320118,0.44789227166276346,0.16489,0.6956979940919523,0.4491716595392722,48.63527061377963,73.79267851072176,0.48651809657278355,0.3018215998389235,219.52390193203863,0.2858718788139057,86.61699242586911,0.0,0.3,0.6905952426823068,0.012183650971621373,54.54317552379805,61.19545805562725,70.72366460961022
116,Villa Canales,Guatemala,116,Villa Canales,Guatemala,Región I Metropolitana,36220000.0,31253543.47,31253543.47,36220000.0,31253543.47,31253543.47,87.79761904761904,88.62244897959184,73.32142857142858,75.25510204081634,82.54464285714286,97.5,1.0965257487742792,6,7,5,7,0.05373957823502398,0.0855614973262032,0.09842926622964686,0.13744303251546763,75.93504782597186,10567110.743200298,0.6211453744493393,0.468384074941452,0.11297,0.371564357360681,0.10781253787056853,47.97384045204432,65.79094313980012,0.8349569065136001,0.12727566861755446,219.52390193203863,0.49061011558483963,99.41313222405248,0.0,0.3,0.6908252385701062,0.005171590591969385,44.48883755366172,59.04110916198157,66.77375878107033
103,San Jose Pinula,Guatemala,103,San Jose Pinula,Guatemala,Región I Metropolitana,45106764.71,46681543.56,46681543.56,45106764.71,46681543.56,46681543.56,83.0059523809524,87.3469387755102,78.5,61.785714285714285,79.99872448979592,97.14285714285714,1.1005423266086172,6,7,5,7,0.031474727750938555,0.0962566844919786,0.07381349122436033,0.07201661699013942,81.21072027370026,2542151.090421547,0.591776798825257,0.44414519906323185,0.12639,0.6367658482290715,0.3876357325127836,31.86985071275858,64.03871082978064,1.3524233949656952,0.16223523547525048,219.52390193203863,0.7946668779521657,100.0,0.0,0.0,0.6475519998118856,0.0025038923931197826,41.28280831616913,45.78815466913911,65.3581195273197
301,Antigua Guatemala,Sacatepéquez,301,Antigua Guatemala,Sacatepéquez,Región V Central,24457573.32,24721653.37,24721653.37,24457573.32,24721653.37,24721653.37,89.04761904761905,96.45408163265306,34.75,95.02551020408164,78.59183673469387,96.78571428571429,1.0804889710974739,6,7,5,7,0.1018499548316725,0.22994652406417113,0.13913977585113133,0.046381994737725835,80.69807765377561,8083468.092509396,0.5991189427312775,0.4721311475409836,0.17282,0.5884706986544075,0.3402357493511295,69.90425279456758,76.73466767143215,0.0594323638092534,0.4911702639925691,220.02306382116367,0.17923032207142023,60.895131510389106,1.0,1.0,0.718687790157062,0.0033091730608273526,55.56620520347536,70.37214531169035,69.47571945682604
